emosi,dokumen
sadness,"['alon', 'parent', 'hous', 'made', 'plan', 'spend', 'afternoon', 'lover', 'plan', 'lover', 'cancel', 'watch', 'movi', 'consid', 'life', 'circumst', 'pressur', 'examin', 'particular']"
disgust,"['discov', 'pornograph', 'literatur', 'workmat', 'drawer', 'literatur', 'featur', 'pictur', 'nake', 'women', 'defec', 'one', 'anoth']"
shame,"['upon', 'return', 'journey', 'two', 'week', 'durat', 'found', 'collect', 'pornograph', 'literatur', 'remov', 'room', 'previous', 'thought', 'one', 'awar', 'exist', 'materi']"
guilt,"['mother', 'father', 'forbidden', 'ride', 'scooter', 'road', 'transgress', 'togeth', 'wild', 'kid', 'across', 'street', 'ride', 'scooter', 'steep', 'hill', 'near', 'hous', 'mother', 'sent', 'boy', 'next', 'door', 'collect', 'sever', 'scold']"
joy,['blank']
fear,"['go', 'glass', 'door', 'sustain', 'number', 'serious', 'cut', 'gape', 'open']"
anger,"['mother', 'person', 'share', 'hous', 'accus', 'tri', 'rip', 'payment', 'bill', 'hous']"
sadness,"['watch', '11', 'programm', 'starv', 'refuge', 'plight', 'sourc', 'sad']"
disgust,"['girl', 'stay', 'sex', 'person', '3', 'night', 'run', 'brother', 'follow', 'night', 'back']"
shame,"['argument', 'acquaint', 'accus', 'insult', 'parent', 'sex', 'hous', 'overheard']"
guilt,"['girl', 'seen', 'period', 'time', 'told', 'pregnant', 'abort', 'father']"
joy,"['boyfriend', 'last', 'told', 'love', 'gave', 'impuls', 'kiss']"
fear,"['boyfriend', 'leav', 'go', 'home', 'one', 'night', 'deep', 'sens', 'uneasi', 'unwarr', 'fear', 'would', 'see']"
anger,"['anger', 'boyfriend', 'best', 'friend', 'alien', 'blame', 'person', 'chang', 'boyfriend', 'chang', 'boyfriend', 'attitud', 'obvious', 'egoist', 'attitud', 'also', 'lost', 'one', 'best', 'friend', 'girlfriend']"
sadness,"['death', 'patern', 'grandmoth', 'close', 'die', 'cancer']"
disgust,"['disgust', 'oneself', 'intox', 'enough', 'go', 'bed', 'stranger']"
shame,"['feel', 'shame', 'everi', 'time', 'think', 'dear', 'friend', 'mine', 'abroad', 'famili', 'year', '2', 'year', 'later', 'attempt', 'actual', 'gone', 'correspond', 'express', 'feel', 'gratitud']"
guilt,"['told', 'exboyfriend', 'hurt', 'wear', 'someth', 'given', 'anoth', 'guy', 'unawar', 'action', 'realli', 'consid', 'fact', 'given', 'might', 'see', 'still', 'respect', 'opinion']"
joy,"['thought', 'high', 'school', 'love', 'mutual', 'emot']"
fear,"['surf', 'ski', 'rather', 'larg', 'wave', 'strong', 'current', 'separ', 'ski', 'began', 'drift', 'slowli', 'actual', 'rather', 'quick', 'away', 'sea', 'direct', 'drift', 'take', 'straight', 'reef', 'rather', 'larg', 'shark', 'constant', 'caught', 'alon', 'one', 'help']"
anger,"['enjoy', 'compani', 'bird', 'life', 'eat', 'lunch', 'park', 'group', 'peopl', 'began', 'throw', 'stick', 'bird', 'reason', 'satisfact', 'see', 'scare', 'away']"
sadness,"['left', 'sister', 'hous', 'stay', 'day', 'two', 'littl', 'boy', 'warm', 'peopl', 'famili', 'time', 'need', 'sort', 'contact', 'grew', 'fond', 'children', 'i', 'paedophiliac']"
disgust,"['father', 'reveal', 'inconsist', 'moral']"
shame,"['woke', 'night', 'drink', 'could', 'rememb', 'discov', 'sever', 'untoward', 'thing', 'occur']"
guilt,"['leav', 'home', 'mother', 'thought', 'reason', 'go', 'felt', 'reject', 'constant', 'depress', 'person', 'bit', 'worrywort', 'felt', 'guilti', 'given', 'additon', 'problem']"
joy,"['i', 'would', 'got', 'top', 'mark', 'exam']"
fear,"['brother', 'drive', 'brisban', 'drove', 'back', 'onto', 'road', 'perhap', 'cut', 'anoth', 'car', 'notic', 'driver', 'best', 'drive', 'us', 'road', '12', 'hour']"
anger,"['corner', 'shop', 'patronis', 'regular', '50', 'note', 'purchas', '3', 'worth', 'good', 'realli', 'need', 'keeper', 'made', 'sarcast', 'remark', 'other', 'peopl', 'use', 'cash', 'note']"
sadness,"['mother', 'die', 'cancer', '4', 'year', 'ill', 'think', 'pregnant', 'moment', 'sad', 'next', 'morn', 'sun', 'rose']"
disgust,"['lectur', 'great', 'detail', 'spoke', 'sexual', 'experi']"
shame,"['walk', 'outsid', 'union', 'refec', 'rain', 'trip', 'fell']"
guilt,"['stole', '5c', 'mother', 'purs', 'choochoo', 'bar', '6']"
joy,"['sail', 'boat', 'night', 'full', 'moon', 'listen', 'pink', 'floyd', 'drink', 'good', 'wine', 'good', 'compani', 'boat', 'steer', 'autopilot', 'full', 'eclips', 'moon']"
fear,"['fear', 'sexual', 'overtur', 'close', 'relat', 'famili']"
anger,"['right', 'use', 'share', 'hous', 'usurp', 'coowner', 'pure', 'selfish']"
sadness,"['reject', 'ignor', 'love', 'person', 'held', 'great', 'esteem']"
disgust,"['view', 'nuclear', 'war', 'film', 'thread']"
shame,"['follow', 'heavi', 'stir', 'ridicul', 'close', 'friend', 'vulner', 'attack', 'inspir', 'fierc', 'defens', 'counterattack']"
guilt,"['guilt', 'press', 'anoth', 'person', 'exposeexplor', 'person', 'weaknessesfault', 'extent', 'person', 'made', 'feel', 'terribledefens']"
joy,"['famili', 'member', 'surviv', 'oper']"
fear,"['walk', 'car', 'night', 'thought', 'follow']"
anger,"['walk', 'teenag', 'patient', 'mine', 'work', 'hospit', 'go', 'offic', 'drawer', 'remov', 'money', 'purs']"
sadness,"['death', 'grandmoth']"
disgust,"['becam', 'awar', 'acquaint', 'stolen', 'friend']"
shame,"['caught', 'cheat', 'diet']"
guilt,"['shown', 'anger', 'toward', 'dog', 'kill', 'later', 'day']"
joy,"['close', 'marri', 'friend', 'first', 'child']"
fear,"['strand', 'north', 'fraser', 'island', 'submerg', '4', 'wd', 'hire', 'vehicl']"
anger,"['alow', 'school', 'camp', 'class', 'i', 'would', '11', 'year', 'stay', 'due', 'ill']"
sadness,"['funer', 'friend', '20', 'year', 'old', 'kill', 'hitandrun', 'motorcycl', 'accid']"
disgust,"['femal', 'friend', 'violent', 'ill', 'return', 'journey', 'wed', 'recept', 'attend', 'get', 'car', 'home', 'took', 'quit']"
shame,"['cheat', 'minor', 'geographi', 'exam', 'school']"
guilt,"['abl', 'see', 'girlfriend', 'birthday', 'late', 'arriv', 'home', 'uni', 'phone', 'arrang', 'certain', 'time', 'rang', 'meantim']"
joy,"['receiv', 'offer', 'postgradu', 'work']"
fear,"['take', 'trip', 'crocokil', 'countri', 'fell', 'boat', 'motiv', 'fear', 'eaten', 'perform', 'great', 'swim', 'feat']"
anger,"['last', 'night', 'find', 'someon', 'hous', 'eaten', 'entir', 'packet', 'almond', 'bought', 'famili', 'treat']"
sadness,"['loss', 'father', 'die', 'massiv', 'sudden', 'heart', 'attack']"
disgust,"['parti', 'celebr', 'friend', '21st', 'birthday', 'upon', 'leav', 'found', '10', 'peopl', 'outsid', 'throw', '4', 'unconsci']"
shame,"['heat', 'argument', 'sister', 'began', 'hit', 'head', 'newspap', 'hold']"
guilt,"['situat', 'stole', 'friend', 'wife', 'wallet']"
joy,"['win', 'tight', 'tenni', 'match', 'one', 'set', 'play', 'team', 'behind', '3', 'game', 'last', 'set', '62', 'match', 'game']"
fear,"['school', 'threw', 'duster', 'anoth', 'child', 'hit', 'head', 'blow', 'caus', 'flesh', 'wound', 'afraid', 'would', 'happen', 'teacher', 'found', 'circumst']"
anger,"['find', 'subordin', 'work', 'still', 'will', 'cooper', 'discuss', 'tri', 'resolv', 'attitud', 'problem']"
sadness,"['death', 'famili', 'dog']"
disgust,"['friend', 'dinner', 'one', 'threw', 'beer', 'bottl', 'air', 'bounc', 'expens', 'tabl', 'damag', 'tabl', 'person', 'apologis']"
shame,"['make', 'joke', 'friend', 'marriag', 'person']"
guilt,"['carri', 'vandalist', 'act', 'window', 'old', 'armi', 'locat']"
joy,"['arriv', 'new', 'zealand', 'teenag', 'first', 'oversea', 'trip', 'someth', 'exhilar', 'chang', 'sceneri', 'etc']"
fear,"['child', 'ie', '57', 'hike', 'reason', 'rug', 'bush', 'becom', 'lost', 'durat', '57', 'hour']"
anger,"['follow', 'argument', 'brother', 'broke', 'golf', 'club']"
sadness,"['leav', 'hous', 'femal', 'friend', 'share', '68', 'month', 'friendship', 'develop', 'approach', 'occasion', 'instanc', 'sever', 'person', 'crise']"
disgust,"['discov', 'good', 'friend', 'lie', 'result', 'detriment', 'relationship', 'anoth', 'person']"
shame,"['specif', 'instanc', 'perhap', 'lie', 'child', 'result', 'someon', 'els', 'blame', 'event']"
guilt,"['leav', 'univers', '1982', 'follow', 'exclus', 'lie', 'parentsfriend', 'reason', 'leav', 'ie', 'lie', 'fact', 'exclud']"
joy,"['go', 'friend', 'wed', 'see', 'mani', 'old', 'friend', 'known', 'move', 'new', 'district', 'five', 'year', 'previous']"
fear,"['car', 'accid', 'travel', 'passeng', 'along', 'narrow', 'bitumen', 'road', 'night', 'tri', 'overtak', 'semitrail', 'truck', 'pull', 'onto', 'side', 'hit', 'wet', 'dirt', 'swerv', 'back', 'truck', 'back', 'onto', 'verg', 'guid', 'post', 'ditch']"
anger,"['school', 'shout', 'argument', 'friend', 'abil', 'carri', 'particular', 'duti', 'correct', 'way', 'without', 'harm']"
sadness,"['look', 'endofsemest', 'result', 'find', 'i', 'would', 'fail', 'three', 'seven', 'subject']"
disgust,"['found', 'famili', 'friend', 'embezzel', 'compani', 'work', 'use', 'compani', 'petrol', 'food', 'suppli', 'claim', 'furnitur', 'crockeri']"
shame,"['best', 'friend', 'foud', 'i', 'would', 'lie', 'someth', 'i', 'would', 'behind', 'back']"
guilt,"['told', 'author', 'figur', 'larg', 'lie', 'told', 'believ', 'believ', 'never', 'lie']"
joy,"['away', 'holiday', '2', 'month', 'friend', 'live', 'interst', 'rememb', 'i', 'would', 'get', 'back', 'phone', 'welcom', 'home', 'night', 'arriv']"
fear,"['walk', 'along', 'dog', 'bark', 'follow']"
anger,"['group', 'assign', 'left', 'work', 'take', 'blame', 'mistak']"
sadness,"['train', 'australian', 'championship', 'competit', 'year', 'injur', '2', 'week', 'competiot']"
disgust,"['someon', 'ruin', 'someon', 'properti', 'fun']"
shame,"['friend', 'give', 'expens', 'christma', 'gift', 'gave', 'cheap', 'one']"
guilt,"['talk', 'someon', 'behind', 'back']"
joy,"['captain', 'school', 'swim', 'team', 'team', 'two', 'point', 'front', 'last', 'relay', 'relay', 'swam', 'thus', 'team', 'championship']"
fear,"['grade', '7', 'came', 'home', 'school', 'one', 'day', 'told', 'mother', 'skin', 'cancer', 'would', 'go', 'hospit', 'straight', 'away']"
anger,"['brother', 'provok', 'anger', 'mother', 'father', 'away', 'look', 'accus', 'selfish', 'snob']"
sadness,"['shift', 'melbourn', 'brisban', 'old', 'school', 'friend', 'gave', 'parti', 'say', 'goodby']"
disgust,"['pick', 'father', 'work', 'pass', 'valley', 'watch', 'three', 'prostitut', 'walk', 'wait', 'someon', 'pick', 'cloth', 'disgust']"
shame,"['good', 'friend', 'grew', 'apart', 'found', 'run', 'friend']"
guilt,"['guilt', 'fight', 'sister', 'tell', 'bad']"
joy,"['18', 'showjump', 'brookfield', 'show', 'competit', 'stiff', 'mani', 'rider', 'compet']"
fear,"['holiday', 'walk', 'back', 'stay', 'night', 'two', 'men', 'start', 'close', 'follow', 'nobodi', 'around', 'could', 'run']"
anger,"['mother', 'father', 'split', 'angri', 'felt', 'depriv', 'differ', 'children', 'school']"
sadness,"['terribl', 'upset', 'kitten', 'got', 'hit', 'car', 'die', 'sever', 'week', 'thought', 'might', 'put']"
disgust,"['heard', 'one', 'good', 'friend', 'parti', 'got', 'involv', 'undesir', 'charact', 'experi', 'drug']"
shame,"['studi', 'exam', 'pretend', 'sick', 'would', 'go', 'school', 'lie', 'mother', 'realiz', 'lie', 'got', 'home', 'work', 'found', 'friend', 'place']"
guilt,"['young', 'stole', 'money', 'mother', 'purs', 'much', 'rememb', 'found', 'gone', 'felt', 'guilti']"
joy,"['day', 'receiv', 'te', 'score', 'accept', 'chosen', 'cours']"
fear,"['first', 'day', 'univers', 'know', 'expect']"
anger,"['school', 'danc', 'suppos', 'best', 'friend', 'kept', 'walk', 'away', 'whenev', 'came', 'near']"
sadness,"['end', 'school', 'function', 'celebr', 'leav', 'friend', 'i', 'would', 'known', '12', 'year']"
disgust,"['watch', 'film', 'experiment', 'oper', 'cat', 'brain', 'cat', 'metal', 'piec', 'protrud', 'eye', 'mouth', 'etc', 'keep', 'head', 'stabl', 'cut', 'open']"
shame,"['mother', 'ask', 'job', 'requir', 'much', 'effort', 'part', 'yet', 'refus', 'selfish', 'reason', 'saw']"
guilt,"['told', 'take', 'car', 'took', 'anyway', 'felt', 'guilti', 'taken']"
joy,"['eat', 'biscuit', 'drink', 'milo', 'chocol', 'energi', 'drink', 'made', 'milk', 'usual', 'drunk', 'warm', 'friend', 'colleg', 'get', 'realli', 'well', 'withold', 'feel', 'other', 'friend', 'pretti', 'good', 'cheer', 'homesick']"
fear,"['go', 'disco', 'wait', 'friend', 'separ', 'plan', 'meet', 'sure', 'even', 'go', 'place', 'felt', 'conscious', 'alon']"
anger,"['person', 'ignor', 'advic', 'pay', 'attent', 'say', 'act', 'though', 'even', 'group', 'work', 'everybodi', 'right', 'speak', 'yet', 'ignor', 'made', 'feel', 'insignific']"
sadness,"['friend', 'mine', 'psychiatr', 'problem', 'mother', 'death', 'age', 'ago', 'realli', 'quiet', 'relat', 'back', 'childhood', 'feel', 'sad', 'lead', 'normal', 'life', 'seem', 'unfair']"
disgust,"['school', 'thing', 'peopl', 'age', 'could', 'think', 'get', 'roll', 'drunk', 'could', 'good', 'time', 'without', 'first', 'get', 'drunk']"
shame,"['girl', 'yell', 'someth', 'group', 'guy', 'knew', 'sound', 'realli', 'childish']"
guilt,"['tell', 'parent', 'exac', 'made', 'late', 'get', 'home', 'one', 'night', 'left', 'detail', 'somehow', 'felt', 'lie']"
joy,"['get', 'good', 'mark', 'subject', 'work', 'hard', 'expect', 'moder', 'mark']"
fear,"['clean', 'pile', 'junk', 'hous', 'huge', 'spider', 'jungl', 'spider', 'ran', 'near', 'like', 'even', 'small', 'spider']"
anger,"['hardwar', 'store', 'tri', 'convert', 'imperi', 'metric', 'measur', 'made', 'mistak', 'buy', 'enough', 'tile', 'bathroom', 'angri', 'hope', 'math', 'teacher']"
sadness,"['father', 'die', 'last', 'year', '8week', 'sever', 'ill']"
disgust,"['py', '102', 'film', 'session', 'tuesday', 'one', 'film', 'shown', 'experi', 'live', 'cat', 'involv', 'strap', 'machin', 'possibl', 'day', 'thing', 'brain']"
shame,"['sever', 'year', 'ago', 'caught', 'ride', 'train', 'without', 'ticket', 'stationmistress', 'treat', 'like', 'crimin', 'almost']"
guilt,"['walk', 'quit', 'quick', 'unthink', 'children', 'playground', 'toddler', 'ran', 'front', 'knock', 'hit', 'head', 'quit', 'hard', 'began', 'cri']"
joy,"['got', 'good', 'reaction', 'tutor', 'tutori', 'group', 'present', 'i', 'would', 'given', 'worri']"
fear,"['man', 'yell', 'outsid', 'window', '300', 'yell', 'threat', 'though']"
anger,"['go', 'away', 'weekend', 'leav', 'colleg', 'room', 'open', 'return', 'sever', 'friend', 'parti', 'leav', 'mess']"
sadness,"['pass', 'away', 'father']"
disgust,"['parti', 'boy', 'tell', 'revolt', 'stori', 'girl', 'would']"
shame,"['get', 'slight', 'intox', '1984', 'icc', 'ball']"
guilt,"['felt', 'guilti', 'go', 'studi', 'present', 'give', 'wednesday', 'next', 'week']"
joy,"['receiv', 'result', 'final', 'examin', 'higher', 'school', 'certif', 'receiv', 'mark', 'beyond', 'wildest', 'expect']"
fear,"['walk', 'around', 'univers', 'night', 'previous', 'warn', 'rape', 'etc']"
anger,"['receiv', 'mark', 'well', 'requir', 'cours', 'want', 'enter', 'yet', 'accept', 'anger', 'injustic', 'receiv', 'earli', 'releas', 'hsc', 'mark']"
sadness,"['left', 'friend', 'school', 'break', 'know', 'would', 'probabl', 'go', 'separ', 'way', 'none', 'see', 'one', 'anoth', 'long', 'time']"
disgust,"['father', 'yell', 'accus', 'sister', 'friend', 'phone', 'someth', 'know', 'anyth']"
shame,"['littl', 'place', 'lolli', 'varnish', 'pull', 'admit', 'guilt']"
guilt,"['felt', 'guilti', 'skip', 'two', 'hour', 'practic', 'class', 'knew', 'would', 'miss', 'inform', 'know', 'could', 'cope', 'go']"
joy,"['got', 'first', 'semest', 'univers']"
fear,"['tender', 'age', 'eleven', 'friend', 'left', 'parti', 'proceed', 'walk', 'dark', 'seclud', 'street', 'bad', 'neighborhood', 'find', 'telephon', 'recent', 'spate', 'horror', 'movi', 'watch', 'occur']"
anger,"['situat', 'wherebi', 'friend', 'action', 'deliber', 'wish', 'regard', 'feel']"
sadness,"['broke', 'boyfriend', 'seven', 'month', 'indepth', 'relationship', 'feel', 'grief', 'loss', 'felt', 'immens', 'sad']"
disgust,"['situat', 'ignor', 'belief', 'principl', 'trip', 'whimsi']"
shame,"['bacam', 'involv', 'boy', 'brief', 'moment', 'like', 'need', 'sort', 'compani', 'consequ', 'expect', 'caus', 'much', 'shame']"
guilt,"['ignor', 'parentswish']"
joy,"['get', 'back', 'boyfriend', 'year', 'away', 'apart']"
fear,"['luggag', 'check', 'custom']"
anger,"['friend', 'would', 'speak', 'would', 'tell']"
sadness,"['think', 'friend', 'oversea']"
disgust,"['hear', 'filthi', 'situat', 'phone']"
shame,"['send', 'pictur', 'home', 'i', 'would', 'put', 'much', 'weight']"
guilt,"['borrow', 'someon', 'els', 'towel', 'without', 'ask']"
joy,"['open', 'te', 'score', 'envelop', 'saw', 'got', 'physiotherapi']"
fear,"['bring', 'shop', 'near', 'stood', 'snake']"
anger,"['accus', 'bitch', 'best', 'friend']"
sadness,"['senior', 'dinner', 'separ', 'school', 'friend', 'noth', 'ever']"
disgust,"['night', 'club', 'watch', 'littl', 'tart', 'tri', 'earn', 'live']"
shame,"['littl', 'mum', 'caught', 'tell', 'lie', 'broke', 'cup']"
guilt,"['use', 'tell', 'mum', 'go', 'somewher', 'els', 'go']"
joy,"['brother', 'pass', 'exam', 'abl', 'graduat', 'cours']"
fear,"['caught', 'elev', 'got', 'stuck', 'floor']"
anger,"['put', 'tenni', 'team', 'standard']"
sadness,"['father', 'die']"
disgust,"['seen', 'peopl', 'drunk', 'make', 'fool']"
shame,"['friend', 'rude', 'girl']"
guilt,"['rude', 'mother', 'got', 'angri']"
joy,"['present', 'boyfriend', 'ask', 'initi', 'go', 'wait', 'long', 'time', 'occur']"
fear,"['somebodi', 'broke', 'home', 'one', 'night', 'mother', 'sister', 'gone', 'bed']"
anger,"['sister', 'lost', 'favourit', 'jumper', 'parti', 'fail', 'tell', 'sever', 'day', 'happen']"
sadness,"['father', 'pass', 'away', 'cancer', 'extrem', 'sadden', 'old', 'made', 'matter', 'wors', 'actual', 'death', 'horrend', 'move', 'funer', 'sadden']"
disgust,"['walk', 'along', 'beach', 'boyfriend', 'saw', '2', 'peopl', 'sex', 'sand', 'dune', 'full', 'view', 'everyon', 'fact', 'chose', 'area', 'sex', 'disgust']"
shame,"['told', 'sister', 'slept', 'boyfriend', 'first', 'mad', 'felt', 'shame', 'act', 'guilt']"
disgust,"['stay', 'coast', 'weekend', 'friend', 'brother', 'came', 'drive', 'home', 'rude', 'hurri', 'rejoin', 'friend', 'embarrass', 'famili', 'involv', 'extrem', 'nice', 'hospit']"
shame,"['allow', 'boyfriend', 'touch', 'briefli']"
guilt,"['ate', '12', 'biscuit', 'one', 'night', 'tea', 'watch', 'tv', 'know']"
joy,"['saw', 'brother', 'church', 'public', 'accept', 'jesus', 'christ', 'saviour', 'lord']"
fear,"['seven', 'year', 'old', 'swim', 'outsid', 'flag', 'gold', 'coast', 'caught', 'rip', 'taken', '100', 'could', 'swim', 'well', 'older', 'friend', '17', 'swam', 'save']"
anger,"['school', 'write', 'essay', 'someth', 'wrong', 'wrote', 'essay', 'mistreat', 'got', 'saturday', 'morn', 'detent', 'along', 'kid', 'show']"
sadness,"['one', 'closest', 'friend', 'die', 'unexpect']"
disgust,"['saw', 'male', 'engin', 'one', 'year', 'came', 'back', 'find', 'femal', 'know', 'itthem', 'person']"
shame,"['dad', 'went', 'sport', 'day', 'parent', 'cheer', 'us']"
guilt,"['own', 'shop', 'use', 'serv', 'occasion', 'sometim', 'took', 'lolli', 'stand', 'dad', 'caught', 'one', 'day']"
joy,"['holiday', 'drive', 'along', 'road', 'beauti', 'sceneri', 'boyfriend', 'realli', 'talk', 'feel', 'overwhelm']"
shame,"['lie', 'friend', 'someth', 'trivial']"
guilt,"['promis', 'task', 'someon', 'close', 'outset', 'knew', 'import', 'came', 'let']"
joy,"['good', 'news', 'sick', 'relat']"
fear,"['walk', 'dark']"
anger,"['get', 'terribl', 'meal', 'pay', 'heap']"
sadness,"['felt', 'lone', 'write', 'famili']"
disgust,"['person', 'talk', 'situat', 'eat']"
shame,"['felt', 'spoke', 'terribl', 'got', 'mad', 'person', 'import', 'life']"
guilt,"['give', 'someth', 'lent']"
joy,"['receiv', 'te', 'score', 'accept', 'univers', 'goal', 'sinc', 'left', 'bank', 'year', 'earlier']"
fear,"['everi', 'time', 'see', 'spider', 'snake']"
anger,"['younger', 'brother', 'fight', 'tvvideo', 'kept', 'turn', 'everi', '2', 'second', 'listen', 'author', 'cheeki', 'fought', 'end', 'tear', 'would']"
sadness,"['first', 'time', 'left', 'home']"
disgust,"['camp', 'boy', 'girl', 'one', 'cabin', 'one', 'guy', 'forc', 'upon', 'anoth', 'girl', 'intercours', 'girl', 'bunk', 'beneath', 'pretend', 'asleep', 'ill']"
shame,"['new', 'jean', 'split', 'youth', 'group']"
guilt,"['17', 'told', 'mum', 'came', 'midnight', 'realli', '330']"
joy,"['can', 'not', 'rememb', 'specif', 'event', 'besid', 'moder', 'happi', 'year', 'ago']"
fear,"['left', 'alon', 'dark', 'young']"
anger,"['can', 'not', 'rememb', 'exact', 'exampl']"
sadness,"['close', 'relat', 'die', 'cancer', 'found', 'last', 'week']"
disgust,"['doctor', 'ignor', 'relat', 'complain', 'pain', 'die', 'cancer']"
shame,"['one', 'best', 'friendsfianct', 'broke', 'relationship', 'feel', 'stronger', 'felt', 'realli', 'encourag', 'leav', 'stay', 'still', 'felt', 'shame']"
sadness,"['fact', 'made', 'asham', 'felt', 'sad']"
disgust,"['person', 'eat', 'half', 'cockroach', 'cake', 'without', 'know']"
shame,"['situat', 'center', 'attent', 'thing', 'happen', 'without', 'control', 'show', 'disagr', 'ignor']"
guilt,"['let', 'person', 'assum', 'fault', 'commit']"
joy,"['final', 'found', 'place', 'live', 'felt', 'reliev', 'predict', 'chang', 'life', 'becam', 'happi']"
fear,"['dream', 'attack', 'friend']"
anger,"['left', 'person', 'love', 'without', 'reason']"
sadness,"['fight', 'sister', 'know', 'care']"
disgust,"['kiss', 'soembodi', 'expect']"
shame,"['day', 'get', 'shower', 'cover', 'front', 'part', 'bodi', 'towel', '7', 'year', 'old', 'see', 'cousin', 'room']"
guilt,"['finish', 'love', 'affair', 'respons', 'sad', 'end']"
joy,"['felt', 'receiv', 'letter', 'tell', 'classifi', 'nation', 'concours', 'p', 'felt', 'happi', 'vaniti']"
fear,"['felt', 'fear', 'asleep', 'dream', 'die', 'asfixi', 'cardiac', 'attack', 'afraid', 'woke', 'desper', 'altough', 'afraid', 'death', 'afraid']"
anger,"['feel', 'see', 'somebodi', 'tray', 'made', 'stupid']"
sadness,"['felt', 'home', 'saw', 'discuss', 'without', 'sens', 'parent']"
disgust,"['see', 'putrid', 'peopl', 'fact', 'catarrh', 'spit', 'whash', 'street', 'spaulo']"
shame,"['felt', 'felt', 'observ', 'object', 'pleasur', 'sexual', 'open', 'took', 'shirt', 'classroom', 'pvc']"
guilt,"['felt', 'play', 'push', 'brother', 'fell', 'cut', 'piec', 'tile']"
joy,"['ask', 'girlfriend', 'marri']"
fear,"['almost', 'drown', 'municip', 'swim', 'pool', 'use', 'go', 'almost', 'excap']"
anger,"['girlfriend', 'guy', 'like', 'made', 'fuss', 'girl']"
sadness,"['death', 'grandfath']"
disgust,"['go', 'underground', 'way', 'suburb', 'station', 'lapa', 'poor', 'peopl', 'ambul', 'bad', 'dress', 'passag', 'bad', 'kept']"
shame,"['fight', 'girlfriend', 'luncheonett', 'everybodi', 'stare', 'way', 'leav']"
guilt,"['point', 'failur', 'friend', 'mine']"
joy,"['met', 'friend', 'seen', 'time']"
fear,"['got', 'jungl', 'great', 'number', 'snake']"
anger,"['unknown', 'person', 'provok', 'verbali', 'physic']"
sadness,"['team', 'lost', 'championship']"
disgust,"['dirti', 'person', 'smell', 'bad', 'unknown', 'lay']"
shame,"['confus', 'girl', 'anoth']"
guilt,"['complain', 'caus', 'great', 'discuss', 'parent']"
joy,"['began', 'date', 'boy', 'till', '16', 'month', 'ago']"
anger,"['learn', 'girlfriend', 'unjust', 'miss', 'work']"
sadness,"['got', 'separ', 'man', 'love']"
disgust,"['acquaint', 'mine', 'reveal', 'light', 'unexpect']"
shame,"['school', 'girl', 'copi', 'class', 'work', 'teacher', 'spot']"
guilt,"['sanatorium', 'front', 'boy', 'fell', 'invalid', 'chair', 'could', 'help', 'felt', 'like', 'paralys']"
joy,"['took', 'entranc', 'exam', 'success', 'also', 'got', 'school', 'leav', 'certif', 'deliv', 'ceremoni', 'extrem', 'offici']"
fear,"['sit', 'first', 'entranc', 'exam', 'fear', 'possibl', 'failur']"
anger,"['indign', 'unimparti', 'shown', 'refere', 'footbal', 'match', 'bulgaria', 'franc']"
sadness,"['got', 'separ', 'man', 'love', 'much']"
disgust,"['watch', 'scene', 'bertoluchi', 'film', 'twentieth', 'centuri']"
shame,"['school', 'girl', 'copi', 'class', 'work']"
guilt,"['sometim', 'unfair', 'parent', 'happen', 'deceiv', 'trifl', 'thing']"
joy,"['admit', 'sofia', 'univers']"
fear,"['come', 'home', 'late', 'night']"
anger,"['talk', 'silli', 'pettymind', 'unmanag', 'peopl']"
sadness,"['friend', 'girl', 'went', 'abroad', 'two', 'year']"
disgust,"['happen', 'wit', 'sadist', 'act']"
shame,"['plain', 'appear']"
guilt,"['someon', 'accus', 'punish', 'instead']"
joy,"['admit', 'univers', 'niec', 'born']"
fear,"['bitten', 'dog']"
anger,"['grandfath', 'funer']"
sadness,"['alon', 'home', 'new', 'year', 'eve']"
disgust,"['walk', 'child', 'met', 'drunk', 'woman']"
shame,"['unawar', 'walk', 'street', 'torn', 'trouser']"
guilt,"['work', 'design', 'fitter', 'hard', 'hit', 'damag', 'occur', 'build', 'site', 'design']"
joy,"['admitt', 'univers']"
fear,"['grenad', 'blew', 'next']"
anger,"['unjust', 'calumni', 'concern']"
sadness,"['unrealis', 'desir', 'profess', 'aviat']"
disgust,"['disgust', 'subordin']"
shame,"['lie', 'friend']"
guilt,"['betray', 'someon', 'trust']"
guilt,"['friend', 'fianct', 'left']"
joy,"['win', 'queensland', 'chess', 'championship']"
fear,"['car', 'accid', 'car', 'total', 'wipe', 'wipe', 'write']"
anger,"['self', 'lose', 'import', 'game']"
sadness,"['death', 'grandfath', 'unexpect']"
disgust,"['someon', 'smoke', 'electr', 'train', 'electr', 'train', 'nonsmok', 'alcohol', 'smell', 'come', 'person']"
shame,"['bath', 'surf', 'beach', 'lost', 'tog']"
guilt,"['promis', 'someon', 'job', 'abl', 'due', 'transport', 'troubl']"
joy,"['receiv', 'person', 'letter', 'ladi', 'like', 'reveal', 'enthusiast', 'thought', 'possibl']"
fear,"['introduc', 'first', 'tutori', 'year', 'univers']"
anger,"['angri', 'univers', 'tutori', 'ignor', 'loudmouth', 'persist', 'tri', 'domin', 'convers']"
